"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":297},{""page_index"":1,""viewing_time"":357},{""page_index"":2,""viewing_time"":286}]","941","Instructions","INFCONS","instructions","341","170311","0.0-293.0","",""
"","260.1100000010629","INFCONS_01","INFCONS","image-button-response","342","170572","0.0-294.0","img/Baby_respiratorios_VC.png","0"
"","251.65999999991618","INFCONS_03","INFCONS","image-button-response","343","170825","0.0-295.0","img/Baby_UCI_VC.png","0"
"","238.9100000000326","INFCONS_04","INFCONS","image-button-response","344","171065","0.0-296.0","img/Baby_lactancia_VC.png","0"
"","250.92000000042026","INFCONS_02","INFCONS","image-button-response","345","171317","0.0-297.0","img/Baby_cerebro_VC.png","0"
"[{""page_index"":0,""viewing_time"":235}]","235","Instructions","INFCONS","instructions","346","171552","0.0-298.0","",""
"","257.91500000012456","INFCONS_06","INFCONS","image-button-response","347","171811","0.0-299.0","img/Mother_paro_VC.png","0"
"","236.14000000088708","INFCONS_08","INFCONS","image-button-response","348","172048","0.0-300.0","img/Mother_infeccion_VC.png","0"
"","221.86999999938416","INFCONS_11","INFCONS","image-button-response","349","172271","0.0-301.0","img/Mother_depresion_VC.png","0"
"","248.60000000082073","INFCONS_10","INFCONS","image-button-response","350","172520","0.0-302.0","img/Mother_UCI_VC.png","0"
"","238.06499999953667","INFCONS_05","INFCONS","image-button-response","351","172760","0.0-303.0","img/Mother_anestesia_VC.png","0"
"","262.09500000003027","INFCONS_09","INFCONS","image-button-response","352","173023","0.0-304.0","img/Mother_lesion_VC.png","0"
"","229.02499999874271","INFCONS_07","INFCONS","image-button-response","353","173253","0.0-305.0","img/Mother_histerectomia_VC.png","0"
