"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":263}]","263","Instructions","COVIDCONTROL","instructions","42","23124","0.0-51.0","","","",""
"","1002.5700000001052","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","43","24130","0.0-52.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Vivo solo(a)""]}","[0]",""
"","566","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","44","24698","0.0-53.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}","",""
"","588","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","45","25289","0.0-54.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}","",""
"","941.5599999997539","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","46","26233","0.0-55.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi hogar""]}","[0]",""
"","605","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","47","26840","0.0-56.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","588","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","48","27431","0.0-57.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","569","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","49","28002","0.0-58.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","576","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","50","28580","0.0-59.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","562","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","51","29144","0.0-60.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","540","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","52","29687","0.0-61.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","498","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","53","30187","0.0-62.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Mejor""}","",""
"","545","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","54","30733","0.0-63.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente""}","",""
"","346.53500000013446","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","55","31081","0.0-64.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
