"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":426}]","426","Instructions_001","Image","FONDECYT","instructions","796","625751","0.0-800.0","","","",""
"[{""page_index"":0,""viewing_time"":490}]","491","FONDECYT_01_1","Image","FONDECYT","instructions","797","626243","0.0-801.0-0.0","lowQuality_Stroke","","",""
"","867.3999999985099","FONDECYT_02_1","Image","FONDECYT","survey-html-form","798","627116","0.0-801.0-1.0","lowQuality_Stroke","{""Q0"":null}","{""Q0"":""58""}",""
"","810","FONDECYT_03_1","Image","FONDECYT","survey-multi-choice-vertical","799","627936","0.0-801.0-2.0","lowQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 58%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" No""}",""
"","773.1000000014901","FONDECYT_04_1","Image","FONDECYT","html-slider-response","800","628713","0.0-801.0-3.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","79","50"
"","655","FONDECYT_05_1","Image","FONDECYT","survey-multi-choice-vertical","801","629373","0.0-801.0-4.0","lowQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" Si""}",""
"","727.1999999992549","FONDECYT_06_1","Image","FONDECYT","html-slider-response","802","630103","0.0-801.0-5.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","62","50"
"[{""page_index"":0,""viewing_time"":773}]","773","FONDECYT_01_2","Image","FONDECYT","instructions","803","630879","0.0-801.0-0.1","highQuality_Stroke","","",""
"","813.1999999992549","FONDECYT_02_2","Image","FONDECYT","survey-html-form","804","631695","0.0-801.0-1.1","highQuality_Stroke","{""Q0"":null}","{""Q0"":""58""}",""
"","718","FONDECYT_03_2","Image","FONDECYT","survey-multi-choice-vertical","805","632419","0.0-801.0-2.1","highQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 58%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" No""}",""
"","501.1000000014901","FONDECYT_04_2","Image","FONDECYT","html-slider-response","806","632923","0.0-801.0-3.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","79","50"
"","942","FONDECYT_05_2","Image","FONDECYT","survey-multi-choice-vertical","807","633869","0.0-801.0-4.1","highQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" Si""}",""
"","610.8999999985099","FONDECYT_06_2","Image","FONDECYT","html-slider-response","808","634484","0.0-801.0-5.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","62","50"
