"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":386},{""page_index"":1,""viewing_time"":646},{""page_index"":2,""viewing_time"":492}]","1524","Instructions_01","INFCONS","instructions","404","554232","0.0-358.0","",""
"","409.30000000074506","INFCONS_03","INFCONS","image-button-response","405","554644","0.0-359.0","img/Baby_UCI_VC.png","0"
"","370.5999999977648","INFCONS_02","INFCONS","image-button-response","406","555016","0.0-360.0","img/Baby_cerebro_VC.png","0"
"","504.0999999977648","INFCONS_04","INFCONS","image-button-response","407","555523","0.0-361.0","img/Baby_lactancia_VC.png","0"
"","393.80000000074506","INFCONS_01","INFCONS","image-button-response","408","555918","0.0-362.0","img/Baby_respiratorios_VC.png","0"
"[{""page_index"":0,""viewing_time"":342}]","343","Instructions_02","INFCONS","instructions","409","556262","0.0-363.0","",""
"","330.69999999925494","INFCONS_09","INFCONS","image-button-response","410","556594","0.0-364.0","img/Mother_lesion_VC.png","0"
"","382.30000000074506","INFCONS_06","INFCONS","image-button-response","411","556978","0.0-365.0","img/Mother_paro_VC.png","0"
"","547.3999999985099","INFCONS_07","INFCONS","image-button-response","412","557528","0.0-366.0","img/Mother_histerectomia_VC.png","0"
"","419.30000000074506","INFCONS_05","INFCONS","image-button-response","413","557950","0.0-367.0","img/Mother_anestesia_VC.png","0"
"","375.3999999985099","INFCONS_08","INFCONS","image-button-response","414","558329","0.0-368.0","img/Mother_infeccion_VC.png","0"
"","353.5","INFCONS_11","INFCONS","image-button-response","415","558685","0.0-369.0","img/Mother_depresion_VC.png","0"
"","433.1000000014901","INFCONS_10","INFCONS","image-button-response","416","559120","0.0-370.0","img/Mother_UCI_VC.png","0"
