"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":404}]","404","Instructions_001","Image","FONDECYT","instructions","794","623102","0.0-800.0","","","",""
"[{""page_index"":0,""viewing_time"":494}]","494","FONDECYT_01_1","Image","FONDECYT","instructions","795","623597","0.0-801.0-0.0","lowQuality_Stroke","","",""
"","630.4000000022352","FONDECYT_02_1","Image","FONDECYT","survey-html-form","796","624232","0.0-801.0-1.0","lowQuality_Stroke","{""Q0"":null}","{""Q0"":""96""}",""
"","726","FONDECYT_03_1","Image","FONDECYT","survey-multi-choice-vertical","797","624964","0.0-801.0-2.0","lowQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 96%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" No""}",""
"","619.8999999985099","FONDECYT_04_1","Image","FONDECYT","html-slider-response","798","625586","0.0-801.0-3.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","53","50"
"","781","FONDECYT_05_1","Image","FONDECYT","survey-multi-choice-vertical","799","626372","0.0-801.0-4.0","lowQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
"","830","FONDECYT_06_1","Image","FONDECYT","html-slider-response","800","627207","0.0-801.0-5.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","32","50"
"[{""page_index"":0,""viewing_time"":415}]","416","FONDECYT_01_2","Image","FONDECYT","instructions","801","627626","0.0-801.0-0.1","highQuality_Stroke","","",""
"","764.5","FONDECYT_02_2","Image","FONDECYT","survey-html-form","802","628394","0.0-801.0-1.1","highQuality_Stroke","{""Q0"":null}","{""Q0"":""96""}",""
"","949","FONDECYT_03_2","Image","FONDECYT","survey-multi-choice-vertical","803","629351","0.0-801.0-2.1","highQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 96%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" No""}",""
