"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","condition_within","slider_start","response"
"[{""page_index"":0,""viewing_time"":252}]","252","Instructions","HRPVB","instructions","227","125255","0.0-239.0","","","","",""
"[{""page_index"":0,""viewing_time"":251}]","252","Instructions_02","HRPVB","instructions","228","125507","0.0-240.0","","","","",""
"","263.2350000003498","HRPVB_08_00","HRPVB","html-button-response","229","125771","0.0-241.0-0.0","Infección de la herida","0","Infección de la herida","",""
"","408.39000000050873","HRPVB_08_02","HRPVB","html-slider-response","230","126181","0.0-241.0-1.0","vaginal","","Infección de la herida; vaginal","50","54"
"","377.1450000003824","HRPVB_08_01","HRPVB","html-slider-response","231","126560","0.0-241.0-2.0","cesarea","","Infección de la herida; cesarea","50","45.2"
"","238.44999999892025","HRPVB_09_00","HRPVB","html-button-response","232","126799","0.0-241.0-0.1","Lesión de la vagina","0","Lesión de la vagina","",""
"","365.6649999993533","HRPVB_09_02","HRPVB","html-slider-response","233","127166","0.0-241.0-1.1","vaginal","","Lesión de la vagina; vaginal","50","54.1"
"","368.1849999993574","HRPVB_09_01","HRPVB","html-slider-response","234","127536","0.0-241.0-2.1","cesarea","","Lesión de la vagina; cesarea","50","52"
"","220.115000000078","HRPVB_07_00","HRPVB","html-button-response","235","127757","0.0-241.0-0.2","Histerectomía (extracción del útero)","0","Histerectomía (extracción del útero)","",""
"","354.7600000001694","HRPVB_07_02","HRPVB","html-slider-response","236","128113","0.0-241.0-1.2","vaginal","","Histerectomía (extracción del útero); vaginal","50","46.4"
"","378.36999999854015","HRPVB_07_01","HRPVB","html-slider-response","237","128492","0.0-241.0-2.2","cesarea","","Histerectomía (extracción del útero); cesarea","50","53.8"
"","237.0899999987014","HRPVB_05_00","HRPVB","html-button-response","238","128730","0.0-241.0-0.3","Complicaciones de la anestesia","0","Complicaciones de la anestesia","",""
"","367.059999998688","HRPVB_05_02","HRPVB","html-slider-response","239","129098","0.0-241.0-1.3","vaginal","","Complicaciones de la anestesia; vaginal","50","53.6"
"","348.6049999992247","HRPVB_05_01","HRPVB","html-slider-response","240","129448","0.0-241.0-2.3","cesarea","","Complicaciones de la anestesia; cesarea","50","47.4"
"","236.97999999966123","HRPVB_06_00","HRPVB","html-button-response","241","129686","0.0-241.0-0.4","Paro cardíaco","0","Paro cardíaco","",""
"","362.54999999981374","HRPVB_06_01","HRPVB","html-slider-response","242","130050","0.0-241.0-1.4","cesarea","","Paro cardíaco; cesarea","50","45.8"
"","366.23499999952037","HRPVB_06_02","HRPVB","html-slider-response","243","130417","0.0-241.0-2.4","vaginal","","Paro cardíaco; vaginal","50","52.3"
"","223.63500000027125","HRPVB_10_00","HRPVB","html-button-response","244","130642","0.0-241.0-0.5","Hospitalización de la madre en cuidados intensivos","0","Hospitalización de la madre en cuidados intensivos","",""
"","374.3699999995297","HRPVB_10_01","HRPVB","html-slider-response","245","131017","0.0-241.0-1.5","cesarea","","Hospitalización de la madre en cuidados intensivos; cesarea","50","50.6"
"","365.61500000063097","HRPVB_10_02","HRPVB","html-slider-response","246","131384","0.0-241.0-2.5","vaginal","","Hospitalización de la madre en cuidados intensivos; vaginal","50","48.8"
"","229.28999999933876","HRPVB_11_00","HRPVB","html-button-response","247","131614","0.0-241.0-0.6","Depresión post parto","0","Depresión post parto","",""
"","357.00499999983003","HRPVB_11_02","HRPVB","html-slider-response","248","131973","0.0-241.0-1.6","vaginal","","Depresión post parto; vaginal","50","49.6"
"","376.52499999967404","HRPVB_11_01","HRPVB","html-slider-response","249","132350","0.0-241.0-2.6","cesarea","","Depresión post parto; cesarea","50","53"
"[{""page_index"":0,""viewing_time"":239}]","239","Instructions_01","HRPVB","instructions","250","132590","0.0-242.0","","","","",""
"","225.125000000844","HRPVB_01_00","HRPVB","html-button-response","251","132816","0.0-243.0-0.0","Problemas respiratorios del recién nacido","0","Problemas respiratorios del recién nacido","",""
"","369.1249999992433","HRPVB_01_02","HRPVB","html-slider-response","252","133187","0.0-243.0-1.0","vaginal","","Problemas respiratorios del recién nacido; vaginal","50","49.6"
"","367.3150000013411","HRPVB_01_01","HRPVB","html-slider-response","253","133555","0.0-243.0-2.0","cesarea","","Problemas respiratorios del recién nacido; cesarea","50","51.2"
"","237.129999999539","HRPVB_02_00","HRPVB","html-button-response","254","133793","0.0-243.0-0.1","Lesión en el cerebro del bebe por falta de oxígeno","0","Lesión en el cerebro del bebe por falta de oxígeno","",""
"","359.11500000109663","HRPVB_02_01","HRPVB","html-slider-response","255","134153","0.0-243.0-1.1","cesarea","","Lesión en el cerebro del bebe por falta de oxígeno; cesarea","50","53.3"
"","354.71499999947264","HRPVB_02_02","HRPVB","html-slider-response","256","134509","0.0-243.0-2.1","vaginal","","Lesión en el cerebro del bebe por falta de oxígeno; vaginal","50","51"
"","224.86999999999534","HRPVB_03_00","HRPVB","html-button-response","257","134735","0.0-243.0-0.2","Hospitalización en cuidados intensivos neonatales","0","Hospitalización en cuidados intensivos neonatales","",""
"","358.5299999995332","HRPVB_03_01","HRPVB","html-slider-response","258","135095","0.0-243.0-1.2","cesarea","","Hospitalización en cuidados intensivos neonatales; cesarea","50","50.6"
"","355.9149999982619","HRPVB_03_02","HRPVB","html-slider-response","259","135452","0.0-243.0-2.2","vaginal","","Hospitalización en cuidados intensivos neonatales; vaginal","50","50.8"
"","212.42499999969732","HRPVB_04_00","HRPVB","html-button-response","260","135665","0.0-243.0-0.3","Dificultades para inicio temprano de lactancia materna","0","Dificultades para inicio temprano de lactancia materna","",""
"","358.58499999993364","HRPVB_04_01","HRPVB","html-slider-response","261","136025","0.0-243.0-1.3","cesarea","","Dificultades para inicio temprano de lactancia materna; cesarea","50","47.8"
"","354.7400000006892","HRPVB_04_02","HRPVB","html-slider-response","262","136381","0.0-243.0-2.3","vaginal","","Dificultades para inicio temprano de lactancia materna; vaginal","50","47.3"
