"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":333}]","333","Instructions_01","SBS","instructions","586","471092","0.0-638.0","","",""
"","629","SBS_01","SBS","html-slider-response","587","471723","0.0-639.0","<div class='justified'>1. Existe un Dios todopoderoso, omnisciente y amoroso.</div></br>","0","3"
"","758","SBS_02","SBS","html-slider-response","588","472483","0.0-640.0","<div class='justified'>2. Existe un ser espiritual espiritual maligno, a quien podríamos llamar el Diablo.</div></br>","0","-4"
"","499","SBS_03","SBS","html-slider-response","589","472984","0.0-641.0","<div class='justified'>3. Existen buenos seres espirituales personales, a quienes podríamos llamar ángeles.</div></br>","0","1"
"","609.2000000029802","SBS_04","SBS","html-slider-response","590","473595","0.0-642.0","<div class='justified'>4. Existen seres espirituales personales malvados, a quienes podríamos llamar demonios.</div></br>","0","3"
"","639.1999999992549","SBS_05","SBS","html-slider-response","591","474237","0.0-643.0","<div class='justified'>5. Los seres humanos tienen almas inmateriales e inmortales.</div></br>","0","-4"
"","545.1999999992549","SBS_06","SBS","html-slider-response","592","474784","0.0-644.0","<div class='justified'>6. Hay un reino espiritual además del físico.</div></br>","0","4"
"","674.1000000014901","SBS_07","SBS","html-slider-response","593","475462","0.0-645.0","<div class='justified'>7. Algunas personas irán al cielo cuando mueran.</div></br>","0","3"
"","637","SBS_08","SBS","html-slider-response","594","476102","0.0-646.0","<div class='justified'>8. Algunas personas irán al infierno cuando mueran.</div></br>","0","-2"
"","513.3000000007451","SBS_09","SBS","html-slider-response","595","476618","0.0-647.0","<div class='justified'>9. Los milagros, eventos divinamente causados que no tienen una explicación natural, pueden suceder y lo hacen.</div></br>","0","3"
"","659.0999999977648","SBS_10","SBS","html-slider-response","596","477280","0.0-648.0","<div class='justified'>10. Hay individuos que son mensajeros de Dios y / o pueden prever el futuro.</div></br>","0","3"
