"stimulus","rt","response","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id"
"{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","467","{""Q0"":""Igual""}","ESM_01","ESM","survey-multi-choice-vertical","175","98954","0.0-187.0"
"{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","468","{""Q0"":""No""}","ESM_02","ESM","survey-multi-choice-vertical","176","99423","0.0-188.0"
"{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","508","{""Q0"":""Mala""}","ESM_03","ESM","survey-multi-choice-vertical","177","99933","0.0-189.0"
"{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","454","{""Q0"":""No se""}","ESM_04","ESM","survey-multi-choice-vertical","178","100388","0.0-190.0"
"{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","458","{""Q0"":""No se""}","ESM_05","ESM","survey-multi-choice-vertical","179","100847","0.0-191.0"
"{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","468","{""Q0"":""No se""}","ESM_06","ESM","survey-multi-choice-vertical","180","101317","0.0-192.0"
"{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","535","{""Q0"":""Buena""}","ESM_07","ESM","survey-multi-choice-vertical","181","101854","0.0-193.0"
"{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","441","{""Q0"":""Si""}","ESM_08","ESM","survey-multi-choice-vertical","182","102297","0.0-194.0"
"{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","436","{""Q0"":""No se""}","ESM_09","ESM","survey-multi-choice-vertical","183","102734","0.0-195.0"
"{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","445","{""Q0"":""No""}","ESM_10","ESM","survey-multi-choice-vertical","184","103181","0.0-196.0"
"{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","431","{""Q0"":""No se""}","ESM_11","ESM","survey-multi-choice-vertical","185","103614","0.0-197.0"
