"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":282}]","282","Instructions_01","ITC","instructions","457","598500","0.0-412.0","","",""
"","755","ITC_01","ITC","survey-multi-choice-vertical","458","599258","0.0-413.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3800000 el próximo mes""}",""
"","775","ITC_02","ITC","survey-multi-choice-vertical","459","600035","0.0-414.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $140000 el próximo mes""}",""
"","598","ITC_03","ITC","survey-multi-choice-vertical","460","600636","0.0-415.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $1100000 en 10 años""}",""
"","772","ITC_04","ITC","survey-multi-choice-vertical","461","601411","0.0-416.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $9000 ahora""}",""
"","732","ITC_05","ITC","survey-multi-choice-vertical","462","602147","0.0-417.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $40000 inmediatamente""}",""
"","708","ITC_06","ITC","survey-multi-choice-vertical","463","602858","0.0-418.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","806","ITC_07","ITC","survey-multi-choice-vertical","464","603666","0.0-419.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $400000""}",""
"","618","ITC_08","ITC","survey-multi-choice-vertical","465","604287","0.0-420.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 ahora""}",""
"","839","ITC_09","ITC","survey-multi-choice-vertical","466","605129","0.0-421.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 30 mins. en dos semanas""}",""
"","683","ITC_10","ITC","survey-multi-choice-vertical","467","605814","0.0-422.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $1000000 este año""}",""
"","638","ITC_11","ITC","survey-multi-choice-vertical","468","606456","0.0-423.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente en 2 semanas""}",""
"","712.6000000014901","ITC_12","ITC","html-slider-response","469","607171","0.0-424.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","551.1999999992549","ITC_13","ITC","html-slider-response","470","607724","0.0-425.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","516.6999999992549","ITC_14","ITC","html-slider-response","471","608243","0.0-426.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","1065","ITC_15","ITC","survey-multi-choice-vertical","472","609311","0.0-427.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Devuelves la billetera esperando recibir una recompensa""}",""
"","749","ITC_16","ITC","survey-multi-choice-vertical","473","610064","0.0-428.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Te imaginas que el niño(a) conoce el camino a su casa""}",""
"","1055","ITC_17","ITC","survey-multi-choice-vertical","474","611122","0.0-429.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Encontrar a alguien que te ayude en un proyecto muy atrasado que tienes""}",""
"","765","ITC_18","ITC","survey-multi-choice-vertical","475","611892","0.0-430.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Sigues caminando porque no quieres llegar tarde a tu destino""}",""
"","975","ITC_19","ITC","survey-multi-choice-vertical","476","612873","0.0-431.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Estudias el examen robado y obtienes una buena nota""}",""
"","869","ITC_20","ITC","survey-multi-choice-vertical","477","613748","0.0-432.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Evito situaciones donde podría ser requerida mi cooperación""}",""
