"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":295}]","295","Instructions","COVIDCONTROL","instructions","51","31176","0.0-61.0","","","",""
"","878.3400000002148","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","52","32058","0.0-62.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Vivo solo(a)""]}","[0]",""
"","800","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","53","32860","0.0-63.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc""}","",""
"","639","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","54","33502","0.0-64.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Ni bueno ni malo""}","",""
"","984.6700000002747","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","55","34490","0.0-65.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi país""]}","[0]",""
"","653","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","56","35146","0.0-66.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","629","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","57","35778","0.0-67.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","639","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","58","36418","0.0-68.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","658","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","59","37079","0.0-69.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","660","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","60","37741","0.0-70.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","687","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","61","38432","0.0-71.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","550","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","62","38985","0.0-72.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}","",""
"","742","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","63","39729","0.0-73.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente""}","",""
"","462.75500000001193","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","64","40194","0.0-74.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
