"trialid","procedure","rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"BART_01","BART","","{""explodeRounds"":128}","{""status"":""safe"",""rounds"":12,""roundMoney"":600,""totalMoney"":600}","audio-button-response","840","675516","0.0-827.0"
"BART_02","BART","","{""explodeRounds"":122}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":650}","audio-button-response","841","677080","0.0-828.0"
"BART_03","BART","","{""explodeRounds"":118}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":650}","audio-button-response","842","678070","0.0-829.0"
"BART_04","BART","","{""explodeRounds"":114}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":700}","audio-button-response","843","680285","0.0-830.0"
"BART_05","BART","","{""explodeRounds"":109}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":900}","audio-button-response","844","684225","0.0-831.0"
"BART_06","BART","","{""explodeRounds"":105}","{""status"":""safe"",""rounds"":9,""roundMoney"":450,""totalMoney"":1350}","audio-button-response","845","692037","0.0-832.0"
"BART_07","BART","","{""explodeRounds"":101}","{""status"":""safe"",""rounds"":22,""roundMoney"":1100,""totalMoney"":2450}","audio-button-response","846","710543","0.0-833.0"
"BART_08","BART","","{""explodeRounds"":96}","{""status"":""safe"",""rounds"":6,""roundMoney"":300,""totalMoney"":2750}","audio-button-response","847","715726","0.0-834.0"
"BART_09","BART","","{""explodeRounds"":92}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":2750}","audio-button-response","848","716665","0.0-835.0"
"BART_10","BART","","{""explodeRounds"":88}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":3000}","audio-button-response","849","721550","0.0-836.0"
"BART_11","BART","","{""explodeRounds"":83}","{""status"":""safe"",""rounds"":12,""roundMoney"":600,""totalMoney"":3600}","audio-button-response","850","732248","0.0-837.0"
"BART_12","BART","","{""explodeRounds"":79}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":3650}","audio-button-response","851","734237","0.0-838.0"
"BART_13","BART","","{""explodeRounds"":75}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":3700}","audio-button-response","852","736172","0.0-839.0"
"BART_14","BART","","{""explodeRounds"":70}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":3950}","audio-button-response","853","741013","0.0-840.0"
"BART_15","BART","","{""explodeRounds"":66}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":4050}","audio-button-response","854","743871","0.0-841.0"
"BART_16","BART","","{""explodeRounds"":62}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":4250}","audio-button-response","855","747357","0.0-842.0"
"BART_17","BART","","{""explodeRounds"":57}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":4350}","audio-button-response","856","749445","0.0-843.0"
"BART_18","BART","","{""explodeRounds"":53}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":4550}","audio-button-response","857","752824","0.0-844.0"
"BART_19","BART","","{""explodeRounds"":49}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":4550}","audio-button-response","858","753685","0.0-845.0"
"BART_20","BART","","{""explodeRounds"":44}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":4600}","audio-button-response","859","755647","0.0-846.0"
"BART_21","BART","","{""explodeRounds"":40}","{""status"":""safe"",""rounds"":6,""roundMoney"":300,""totalMoney"":4900}","audio-button-response","860","761180","0.0-847.0"
"BART_22","BART","","{""explodeRounds"":36}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":4900}","audio-button-response","861","762212","0.0-848.0"
"BART_23","BART","","{""explodeRounds"":31}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":5150}","audio-button-response","862","767207","0.0-849.0"
"BART_24","BART","","{""explodeRounds"":27}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":5350}","audio-button-response","863","770743","0.0-850.0"
"BART_25","BART","","{""explodeRounds"":23}","{""status"":""safe"",""rounds"":14,""roundMoney"":700,""totalMoney"":6050}","audio-button-response","864","782828","0.0-851.0"
"BART_26","BART","","{""explodeRounds"":18}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":6300}","audio-button-response","865","787460","0.0-852.0"
"BART_27","BART","","{""explodeRounds"":14}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":6400}","audio-button-response","866","790095","0.0-853.0"
"BART_28","BART","","{""explodeRounds"":10}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":6650}","audio-button-response","867","794909","0.0-854.0"
"BART_29","BART","","{""explodeRounds"":5}","{""status"":""explode"",""rounds"":5,""roundMoney"":0,""totalMoney"":6650}","audio-button-response","868","798715","0.0-855.0"
"BART_30","BART","","{""explodeRounds"":1}","{""status"":""explode"",""rounds"":1,""roundMoney"":0,""totalMoney"":6650}","audio-button-response","869","799673","0.0-856.0"
