"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":355}]","355","Instructions_001","Text","FONDECYT","instructions","793","623619","0.0-800.0","","","",""
"[{""page_index"":0,""viewing_time"":404}]","405","FONDECYT_01_1","Text","FONDECYT","instructions","794","624026","0.0-801.0-0.0","lowQuality_Stroke","","",""
"","675.5","FONDECYT_02_1","Text","FONDECYT","survey-html-form","795","624705","0.0-801.0-1.0","lowQuality_Stroke","{""Q0"":null}","{""Q0"":""72""}",""
"","973","FONDECYT_03_1","Text","FONDECYT","survey-multi-choice-vertical","796","625685","0.0-801.0-2.0","lowQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 72%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","669.7000000029802","FONDECYT_04_1","Text","FONDECYT","html-slider-response","797","626357","0.0-801.0-3.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","58","50"
"","882","FONDECYT_05_1","Text","FONDECYT","survey-multi-choice-vertical","798","627244","0.0-801.0-4.0","lowQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
"","658","FONDECYT_06_1","Text","FONDECYT","html-slider-response","799","627906","0.0-801.0-5.0","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad NO recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","79","50"
"[{""page_index"":0,""viewing_time"":330}]","330","FONDECYT_01_2","Text","FONDECYT","instructions","800","628237","0.0-801.0-0.1","highQuality_Stroke","","",""
"","650.0999999977648","FONDECYT_02_2","Text","FONDECYT","survey-html-form","801","628891","0.0-801.0-1.1","highQuality_Stroke","{""Q0"":null}","{""Q0"":""72""}",""
"","844","FONDECYT_03_2","Text","FONDECYT","survey-multi-choice-vertical","802","629742","0.0-801.0-2.1","highQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 72%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","665.0999999977648","FONDECYT_04_2","Text","FONDECYT","html-slider-response","803","630411","0.0-801.0-3.1","highQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","58","50"
"","869","FONDECYT_05_2","Text","FONDECYT","survey-multi-choice-vertical","804","631287","0.0-801.0-4.1","highQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" No""}",""
