"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"445.9000000022352","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","189","172844","0.0-214.0",""
"830","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","190","173677","0.0-215.0","{""Q0"":""Mejor""}"
"726","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","191","174407","0.0-216.0","{""Q0"":""No""}"
"1022","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","192","175433","0.0-217.0","{""Q0"":""Muy Buena""}"
"770","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","193","176206","0.0-218.0","{""Q0"":""No se""}"
"895","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","194","177104","0.0-219.0","{""Q0"":""No""}"
"696","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","195","177804","0.0-220.0","{""Q0"":""Si""}"
"1025","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","196","178832","0.0-221.0","{""Q0"":""Buena""}"
"750","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","197","179584","0.0-222.0","{""Q0"":""Si""}"
"911","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","198","180498","0.0-223.0","{""Q0"":""No""}"
"704","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","199","181205","0.0-224.0","{""Q0"":""Si""}"
"997","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","200","182206","0.0-225.0","{""Q0"":""Si""}"
