"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":247},{""page_index"":1,""viewing_time"":483},{""page_index"":2,""viewing_time"":270}]","1000","Instructions","INFCONS","instructions","322","142896","0.0-273.0","",""
"","249.13000000015018","INFCONS_01","INFCONS","image-button-response","323","143147","0.0-274.0","img/Baby_respiratorios_VC.png","0"
"","227.55000000007567","INFCONS_02","INFCONS","image-button-response","324","143376","0.0-275.0","img/Baby_cerebro_VC.png","0"
"","219.69499999977415","INFCONS_03","INFCONS","image-button-response","325","143597","0.0-276.0","img/Baby_UCI_VC.png","0"
"","228.20499999989988","INFCONS_04","INFCONS","image-button-response","326","143826","0.0-277.0","img/Baby_lactancia_VC.png","0"
"[{""page_index"":0,""viewing_time"":223}]","223","Instructions","INFCONS","instructions","327","144050","0.0-278.0","",""
"","216.35500000003958","INFCONS_06","INFCONS","image-button-response","328","144268","0.0-279.0","img/Mother_paro_VC.png","0"
"","223.01500000004307","INFCONS_08","INFCONS","image-button-response","329","144492","0.0-280.0","img/Mother_infeccion_VC.png","0"
"","218.39999999976135","INFCONS_09","INFCONS","image-button-response","330","144711","0.0-281.0","img/Mother_lesion_VC.png","0"
"","218.8349999996717","INFCONS_05","INFCONS","image-button-response","331","144931","0.0-282.0","img/Mother_anestesia_VC.png","0"
"","231.0199999997276","INFCONS_07","INFCONS","image-button-response","332","145163","0.0-283.0","img/Mother_histerectomia_VC.png","0"
"","222.8100000002014","INFCONS_11","INFCONS","image-button-response","333","145387","0.0-284.0","img/Mother_depresion_VC.png","0"
"","227.91999999980908","INFCONS_10","INFCONS","image-button-response","334","145616","0.0-285.0","img/Mother_UCI_VC.png","0"
