"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":341}]","341","Instructions_01","ITC","instructions","456","570453","0.0-412.0","","",""
"","867","ITC_01","ITC","survey-multi-choice-vertical","457","571323","0.0-413.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3400000 este mes""}",""
"","663","ITC_02","ITC","survey-multi-choice-vertical","458","571989","0.0-414.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $140000 el próximo mes""}",""
"","784","ITC_03","ITC","survey-multi-choice-vertical","459","572777","0.0-415.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $1100000 en 10 años""}",""
"","758","ITC_04","ITC","survey-multi-choice-vertical","460","573538","0.0-416.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $9000 ahora""}",""
"","667","ITC_05","ITC","survey-multi-choice-vertical","461","574209","0.0-417.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $40000 inmediatamente""}",""
"","954","ITC_06","ITC","survey-multi-choice-vertical","462","575166","0.0-418.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $20000 cada año durante 7 años""}",""
"","614","ITC_07","ITC","survey-multi-choice-vertical","463","575783","0.0-419.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 10 años""}",""
"","718","ITC_08","ITC","survey-multi-choice-vertical","464","576504","0.0-420.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 ahora""}",""
"","877","ITC_09","ITC","survey-multi-choice-vertical","465","577386","0.0-421.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 45 mins. en algunos meses""}",""
"","628","ITC_10","ITC","survey-multi-choice-vertical","466","578019","0.0-422.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $1000000 este año""}",""
"","892","ITC_11","ITC","survey-multi-choice-vertical","467","578914","0.0-423.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente en 2 semanas""}",""
"","645.6999999992549","ITC_12","ITC","html-slider-response","468","579563","0.0-424.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","568.3999999985099","ITC_13","ITC","html-slider-response","469","580133","0.0-425.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","731.7000000029802","ITC_14","ITC","html-slider-response","470","580868","0.0-426.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","920","ITC_15","ITC","survey-multi-choice-vertical","471","581795","0.0-427.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Dejas la billetera donde la encontraste""}",""
"","980","ITC_16","ITC","survey-multi-choice-vertical","472","582779","0.0-428.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Llevas al niño(a) a tu casa y llamas a la policía""}",""
"","960","ITC_17","ITC","survey-multi-choice-vertical","473","583745","0.0-429.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Ir a ver una película solo""}",""
"","966","ITC_18","ITC","survey-multi-choice-vertical","474","584716","0.0-430.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Decides qué hacer en base a su apariencia""}",""
"","895","ITC_19","ITC","survey-multi-choice-vertical","475","585615","0.0-431.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Informas al profesor que la copia fue robada""}",""
"","1027","ITC_20","ITC","survey-multi-choice-vertical","476","586645","0.0-432.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Coopero de todas formas si es útil para mi""}",""
"","926","ITC_21","ITC","survey-multi-choice-vertical","477","587577","0.0-433.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Se la prestas si sabes que realmente la necesita""}",""
"","947","ITC_22","ITC","survey-multi-choice-vertical","478","588528","0.0-434.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Acuerdas con la persona una tarifa razonable para ayudarlo""}",""
"","893","ITC_23","ITC","survey-multi-choice-vertical","479","589432","0.0-435.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia temiendo algún posible peligro""}",""
"","1149","ITC_24","ITC","survey-multi-choice-vertical","480","590585","0.0-436.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Por temor prefieres no hacer nada""}",""
"","1150","ITC_25","ITC","survey-multi-choice-vertical","481","591740","0.0-437.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" Te detienes a ayudar aunque la persona sea un extraño""}",""
"","1097","ITC_26","ITC","survey-multi-choice-vertical","482","592841","0.0-438.0","{""Q0"":""26. Cuando eres requerido(a) como voluntario(a) para una tarea en la que no recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Te comprometes y ayudas si recibirás algún reconocimiento""}",""
"","798","ITC_27","ITC","survey-multi-choice-vertical","483","593642","0.0-439.0","{""Q0"":""27. Una anciana parada en una esquina aparenta estar perdida. ¿Qué crees que harías?""}","{""Q0"":"" Vas y ayudas""}",""
"","965","ITC_28","ITC","survey-multi-choice-vertical","484","594610","0.0-440.0","{""Q0"":""28. Un grupo de compañeros tuyos organizó un evento de llamado \""como todo lo que puedas\"" a beneficiencia de una institución de caridad. ¿Qué crees que harías?""}","{""Q0"":"" No compras la entrada""}",""
"","805","ITC_29","ITC","survey-multi-choice-vertical","485","595419","0.0-441.0","{""Q0"":""29. Una persona \""hace dedo\"" tarde en la noche. Está lloviendo y hay pocos autos en el camino. ¿Qué crees que harías?""}","{""Q0"":"" Continúas manejando y evitas mirar a la persona""}",""
"","984","ITC_30","ITC","survey-multi-choice-vertical","486","596407","0.0-442.0","{""Q0"":""30. Estás en una sala de espera con otra persona. Si escuchas un grito en la sala de al lado y la otra persona no hace nada. ¿Qué crees que harías?""}","{""Q0"":"" Esperas a ver si los gritos continuan""}",""
"","770","ITC_31","ITC","survey-multi-choice-vertical","487","597180","0.0-443.0","{""Q0"":""31. ¿A cual grupo sería más probable que te unas?""}","{""Q0"":"" A un club dedicado a actividades de ocio""}",""
"","1077","ITC_32","ITC","survey-multi-choice-vertical","488","598260","0.0-444.0","{""Q0"":""32. En una calle desierta una persona pobremente vestida te pide una moneda. ¿Qué crees que harías?""}","{""Q0"":"" Le preguntas para qué quiere el dinero""}",""
"","766","ITC_33","ITC","survey-multi-choice-vertical","489","599032","0.0-445.0","{""Q0"":""33. ¿Cuál de las siguientes alternativas te prepresenta mejor?""}","{""Q0"":"" Me gusta ayudar a quienes están dispuestos a ayudarme""}",""
"","993","ITC_34","ITC","survey-multi-choice-vertical","490","600028","0.0-446.0","{""Q0"":""34. Si eres requerido(a) como voluntario (a) para una causa social por la que recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Serías voluntario(a) pero no aceptas el pago""}",""
"","880","ITC_35","ITC","survey-multi-choice-vertical","491","600914","0.0-447.0","{""Q0"":""35. Un amigo de otra universidad visita a tu compañero de pieza el fin de semana. El quiere usar tu ticket de almuerzo para comer en la cafetería gratis. ¿Qué crees que harías?""}","{""Q0"":"" Le prestas tu ticket si tu compañero promete que hará lo mismo por ti alguna vez""}",""
