"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":287}]","287","Instructions","OTRASRELIG","instructions","506","269064","0.0-461.0","","",""
"","484.7999999997555","OTRASRELIG_01","OTRASRELIG","html-slider-response","507","269551","0.0-462.0","<div class=""justified"">¿Qué tan importante considera que es Dios en su vida? </div></br>","50","1"
"","497","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","508","270050","0.0-463.0","{""Q0"":""¿Cree usted en Dios?""}","","{""Q0"":"" No""}"
"","489","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","509","270540","0.0-464.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","","{""Q0"":"" No""}"
"","485","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","510","271027","0.0-465.0","{""Q0"":""¿Cree usted en el Infierno?""}","","{""Q0"":"" Sí""}"
"","471","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","511","271500","0.0-466.0","{""Q0"":""¿Cree usted en el Cielo?""}","","{""Q0"":"" Sí""}"
"","691","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","512","272193","0.0-467.0","{""Q0"":""Fui criado(a)""}","","{""Q0"":"" No religioso(a)""}"
"","635","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","513","272832","0.0-469.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","","{""Q0"":"" Judío(a)""}"
"","654","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","514","273489","0.0-471.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","","{""Q0"":"" Casi nadie o nadie""}"
"","813","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","515","274306","0.0-472.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","","{""Q0"":"" Una vez a la semana""}"
