"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":281},{""page_index"":1,""viewing_time"":348},{""page_index"":2,""viewing_time"":281}]","910","Instructions","INFCONS","instructions","341","165421","0.0-293.0","",""
"","255.3299999999581","INFCONS_01","INFCONS","image-button-response","342","165678","0.0-294.0","img/Baby_respiratorios_VC.png","0"
"","226.0999999998603","INFCONS_03","INFCONS","image-button-response","343","165905","0.0-295.0","img/Baby_UCI_VC.png","0"
"","242.414999999688","INFCONS_02","INFCONS","image-button-response","344","166149","0.0-296.0","img/Baby_cerebro_VC.png","0"
"","230.5299999997951","INFCONS_04","INFCONS","image-button-response","345","166380","0.0-297.0","img/Baby_lactancia_VC.png","0"
"[{""page_index"":0,""viewing_time"":230}]","230","Instructions","INFCONS","instructions","346","166611","0.0-298.0","",""
"","240.5850000004575","INFCONS_10","INFCONS","image-button-response","347","166853","0.0-299.0","img/Mother_UCI_VC.png","0"
"","228.6050000002433","INFCONS_08","INFCONS","image-button-response","348","167082","0.0-300.0","img/Mother_infeccion_VC.png","0"
"","245.4400000005844","INFCONS_09","INFCONS","image-button-response","349","167329","0.0-301.0","img/Mother_lesion_VC.png","0"
"","230.23999999987427","INFCONS_06","INFCONS","image-button-response","350","167560","0.0-302.0","img/Mother_paro_VC.png","0"
"","231.34500000014668","INFCONS_11","INFCONS","image-button-response","351","167793","0.0-303.0","img/Mother_depresion_VC.png","0"
"","229.89499999946565","INFCONS_05","INFCONS","image-button-response","352","168024","0.0-304.0","img/Mother_anestesia_VC.png","0"
"","229.39500000028056","INFCONS_07","INFCONS","image-button-response","353","168254","0.0-305.0","img/Mother_histerectomia_VC.png","0"
