"stimulus","rt","response","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id"
"{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","557","{""Q0"":""Peor""}","ESM_01","ESM","survey-multi-choice-vertical","208","129545","0.0-222.0"
"{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","532","{""Q0"":""No se""}","ESM_02","ESM","survey-multi-choice-vertical","209","130079","0.0-223.0"
"{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","608","{""Q0"":""Mala""}","ESM_03","ESM","survey-multi-choice-vertical","210","130690","0.0-224.0"
"{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","531","{""Q0"":""Si""}","ESM_04","ESM","survey-multi-choice-vertical","211","131223","0.0-225.0"
"{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","504","{""Q0"":""No""}","ESM_05","ESM","survey-multi-choice-vertical","212","131729","0.0-226.0"
"{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","543","{""Q0"":""Si""}","ESM_06","ESM","survey-multi-choice-vertical","213","132274","0.0-227.0"
"{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","607","{""Q0"":""Muy Buena""}","ESM_07","ESM","survey-multi-choice-vertical","214","132883","0.0-228.0"
"{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","670","{""Q0"":""Si""}","ESM_08","ESM","survey-multi-choice-vertical","215","133555","0.0-229.0"
"{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","586","{""Q0"":""No se""}","ESM_09","ESM","survey-multi-choice-vertical","216","134144","0.0-230.0"
"{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","556","{""Q0"":""Si""}","ESM_10","ESM","survey-multi-choice-vertical","217","134703","0.0-231.0"
"{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","704","{""Q0"":""No se""}","ESM_11","ESM","survey-multi-choice-vertical","218","135408","0.0-232.0"
