"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":374}]","374","Instructions","COVIDCONTROL","instructions","42","24476","0.0-51.0","","","",""
"","830.3150000001551","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","43","25309","0.0-52.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Vivo solo(a)""]}","[0]",""
"","641","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","44","25952","0.0-53.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}","",""
"","663","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","45","26618","0.0-54.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}","",""
"","950.3050000002986","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","46","27571","0.0-55.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi hogar""]}","[0]",""
"","587","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","47","28159","0.0-56.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","585","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","48","28746","0.0-57.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","579","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","49","29327","0.0-58.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","596","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","50","29925","0.0-59.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","622","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","51","30549","0.0-60.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","619","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","52","31170","0.0-61.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","532","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","53","31704","0.0-62.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Mejor""}","",""
"","617","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","54","32324","0.0-63.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente""}","",""
"","402.93000000019674","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","55","32728","0.0-64.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
