"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":267}]","267","Instructions","ITC","instructions","394","189111","0.0-347.0","","",""
"","448","ITC_01","ITC","survey-multi-choice-vertical","395","189560","0.0-348.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3400000 este mes""}",""
"","429","ITC_02","ITC","survey-multi-choice-vertical","396","189991","0.0-349.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","439","ITC_03","ITC","survey-multi-choice-vertical","397","190433","0.0-350.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","432","ITC_04","ITC","survey-multi-choice-vertical","398","190866","0.0-351.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $9000 ahora""}",""
"","422","ITC_05","ITC","survey-multi-choice-vertical","399","191291","0.0-352.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $40000 inmediatamente""}",""
"","431","ITC_06","ITC","survey-multi-choice-vertical","400","191724","0.0-353.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","405","ITC_07","ITC","survey-multi-choice-vertical","401","192132","0.0-354.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 10 años""}",""
"","388","ITC_08","ITC","survey-multi-choice-vertical","402","192521","0.0-355.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 ahora""}",""
"","403","ITC_09","ITC","survey-multi-choice-vertical","403","192927","0.0-356.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 30 mins. en dos semanas""}",""
"","402","ITC_10","ITC","survey-multi-choice-vertical","404","193331","0.0-357.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $1000000 este año""}",""
"","432","ITC_11","ITC","survey-multi-choice-vertical","405","193766","0.0-358.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente en 2 semanas""}",""
"","418.670000000915","ITC_12","ITC","html-slider-response","406","194186","0.0-359.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","357.08999999953085","ITC_13","ITC","html-slider-response","407","194545","0.0-360.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","334.48499999940395","ITC_14","ITC","html-slider-response","408","194880","0.0-361.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","517","ITC_15","ITC","survey-multi-choice-vertical","409","195401","0.0-362.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Devuelves la billetera sin dejar que el dueño sepa quien eres""}",""
"","542","ITC_16","ITC","survey-multi-choice-vertical","410","195946","0.0-363.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Llevas al niño(a) a tu casa y llamas a la policía""}",""
"","544","ITC_17","ITC","survey-multi-choice-vertical","411","196494","0.0-364.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Ir a ver una película solo""}",""
"","537","ITC_18","ITC","survey-multi-choice-vertical","412","197035","0.0-365.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Lo ayudas de cualquier manera que puedas""}",""
"","514","ITC_19","ITC","survey-multi-choice-vertical","413","197552","0.0-366.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Informas al profesor que la copia fue robada""}",""
"","546","ITC_20","ITC","survey-multi-choice-vertical","414","198100","0.0-367.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Simplemente no lo hago""}",""
"","577","ITC_21","ITC","survey-multi-choice-vertical","415","198679","0.0-368.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Se la prestas si es que tú podrías pedirle a cambio algo en otra oportunidad""}",""
"","502","ITC_22","ITC","survey-multi-choice-vertical","416","199183","0.0-369.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Le dices a la persona que no te moleste""}",""
"","511","ITC_23","ITC","survey-multi-choice-vertical","417","199698","0.0-370.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia temiendo algún posible peligro""}",""
"","495","ITC_24","ITC","survey-multi-choice-vertical","418","200198","0.0-371.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Por temor prefieres no hacer nada""}",""
"","527","ITC_25","ITC","survey-multi-choice-vertical","419","200727","0.0-372.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" Te detienes a ayudar aunque la persona sea un extraño""}",""
"","525","ITC_26","ITC","survey-multi-choice-vertical","420","201255","0.0-373.0","{""Q0"":""26. Cuando eres requerido(a) como voluntario(a) para una tarea en la que no recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Te comprometes y ayudas si recibirás algún reconocimiento""}",""
"","545","ITC_27","ITC","survey-multi-choice-vertical","421","201803","0.0-374.0","{""Q0"":""27. Una anciana parada en una esquina aparenta estar perdida. ¿Qué crees que harías?""}","{""Q0"":"" Vas y ayudas""}",""
"","523","ITC_28","ITC","survey-multi-choice-vertical","422","202328","0.0-375.0","{""Q0"":""28. Un grupo de compañeros tuyos organizó un evento de llamado \""como todo lo que puedas\"" a beneficiencia de una institución de caridad. ¿Qué crees que harías?""}","{""Q0"":"" Compras la entrada y vas""}",""
"","543","ITC_29","ITC","survey-multi-choice-vertical","423","202874","0.0-376.0","{""Q0"":""29. Una persona \""hace dedo\"" tarde en la noche. Está lloviendo y hay pocos autos en el camino. ¿Qué crees que harías?""}","{""Q0"":"" Paras y ofreces llevarlo""}",""
"","566","ITC_30","ITC","survey-multi-choice-vertical","424","203444","0.0-377.0","{""Q0"":""30. Estás en una sala de espera con otra persona. Si escuchas un grito en la sala de al lado y la otra persona no hace nada. ¿Qué crees que harías?""}","{""Q0"":"" Esperas a ver si los gritos continuan""}",""
"","528","ITC_31","ITC","survey-multi-choice-vertical","425","203975","0.0-378.0","{""Q0"":""31. ¿A cual grupo sería más probable que te unas?""}","{""Q0"":"" A un club dedicado a actividades de ocio""}",""
"","504","ITC_32","ITC","survey-multi-choice-vertical","426","204482","0.0-379.0","{""Q0"":""32. En una calle desierta una persona pobremente vestida te pide una moneda. ¿Qué crees que harías?""}","{""Q0"":"" Le preguntas para qué quiere el dinero""}",""
"","499","ITC_33","ITC","survey-multi-choice-vertical","427","204985","0.0-380.0","{""Q0"":""33. ¿Cuál de las siguientes alternativas te prepresenta mejor?""}","{""Q0"":"" Ayudar a tus amigos(as)""}",""
"","525","ITC_34","ITC","survey-multi-choice-vertical","428","205513","0.0-381.0","{""Q0"":""34. Si eres requerido(a) como voluntario (a) para una causa social por la que recibirás pago. ¿Qué crees que harías?""}","{""Q0"":"" Serías voluntario(a) y aceptarías el pago""}",""
"","538","ITC_35","ITC","survey-multi-choice-vertical","429","206053","0.0-382.0","{""Q0"":""35. Un amigo de otra universidad visita a tu compañero de pieza el fin de semana. El quiere usar tu ticket de almuerzo para comer en la cafetería gratis. ¿Qué crees que harías?""}","{""Q0"":"" Finges que no tienes tu ticket de almuerzo""}",""
