"stimulus","rt","response","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id"
"{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","588","{""Q0"":""Mejor""}","ESM_01","ESM","survey-multi-choice-vertical","208","127915","0.0-222.0"
"{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","519","{""Q0"":""Si""}","ESM_02","ESM","survey-multi-choice-vertical","209","128436","0.0-223.0"
"{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","618","{""Q0"":""Buena""}","ESM_03","ESM","survey-multi-choice-vertical","210","129056","0.0-224.0"
"{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","536","{""Q0"":""No se""}","ESM_04","ESM","survey-multi-choice-vertical","211","129595","0.0-225.0"
"{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","517","{""Q0"":""No se""}","ESM_05","ESM","survey-multi-choice-vertical","212","130113","0.0-226.0"
"{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","502","{""Q0"":""No""}","ESM_06","ESM","survey-multi-choice-vertical","213","130617","0.0-227.0"
"{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","547","{""Q0"":""Muy Mala""}","ESM_07","ESM","survey-multi-choice-vertical","214","131166","0.0-228.0"
"{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","499","{""Q0"":""No""}","ESM_08","ESM","survey-multi-choice-vertical","215","131667","0.0-229.0"
"{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","548","{""Q0"":""No""}","ESM_09","ESM","survey-multi-choice-vertical","216","132217","0.0-230.0"
"{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","571","{""Q0"":""No se""}","ESM_10","ESM","survey-multi-choice-vertical","217","132790","0.0-231.0"
"{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","654","{""Q0"":""No""}","ESM_11","ESM","survey-multi-choice-vertical","218","133447","0.0-232.0"
