"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":372}]","372","Instructions_01","OTRASRELIG","instructions","363","308354","0.0-398.0","","",""
"","540.8000000007451","OTRASRELIG_01","OTRASRELIG","html-slider-response","364","308897","0.0-399.0","<div class=""justified"">¿Qué tan importante considera que es Dios en su vida? </div></br>","3","1"
"","666","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","365","309567","0.0-400.0","{""Q0"":""¿Cree usted en Dios?""}","","{""Q0"":"" Sí""}"
"","677","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","366","310247","0.0-401.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","","{""Q0"":"" No""}"
"","646","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","367","310896","0.0-402.0","{""Q0"":""¿Cree usted en el Infierno?""}","","{""Q0"":"" Sí""}"
"","661","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","368","311560","0.0-403.0","{""Q0"":""¿Cree usted en el Cielo?""}","","{""Q0"":"" No""}"
"","1001","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","369","312567","0.0-404.0","{""Q0"":""Fui criado(a)""}","","{""Q0"":"" No religioso(a)""}"
"","1046","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","370","313618","0.0-406.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","","{""Q0"":"" Judío(a)""}"
"","939","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","371","314562","0.0-408.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","","{""Q0"":"" Casi nadie o nadie""}"
"","1429","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","372","315996","0.0-409.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","","{""Q0"":"" Solo para los festivos""}"
