"stimulus","rt","response","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id"
"{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","497","{""Q0"":""Peor""}","ESM_01","ESM","survey-multi-choice-vertical","175","103042","0.0-187.0"
"{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","484","{""Q0"":""No se""}","ESM_02","ESM","survey-multi-choice-vertical","176","103528","0.0-188.0"
"{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","566","{""Q0"":""Buena""}","ESM_03","ESM","survey-multi-choice-vertical","177","104096","0.0-189.0"
"{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","457","{""Q0"":""No""}","ESM_04","ESM","survey-multi-choice-vertical","178","104555","0.0-190.0"
"{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","446","{""Q0"":""Si""}","ESM_05","ESM","survey-multi-choice-vertical","179","105004","0.0-191.0"
"{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","449","{""Q0"":""Si""}","ESM_06","ESM","survey-multi-choice-vertical","180","105454","0.0-192.0"
"{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","464","{""Q0"":""Muy Mala""}","ESM_07","ESM","survey-multi-choice-vertical","181","105920","0.0-193.0"
"{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","442","{""Q0"":""No""}","ESM_08","ESM","survey-multi-choice-vertical","182","106365","0.0-194.0"
"{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","460","{""Q0"":""Si""}","ESM_09","ESM","survey-multi-choice-vertical","183","106826","0.0-195.0"
"{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","450","{""Q0"":""No se""}","ESM_10","ESM","survey-multi-choice-vertical","184","107278","0.0-196.0"
"{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","457","{""Q0"":""No""}","ESM_11","ESM","survey-multi-choice-vertical","185","107738","0.0-197.0"
