"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","condition_within","slider_start","response"
"[{""page_index"":0,""viewing_time"":236},{""page_index"":1,""viewing_time"":240}]","476","Instructions","HRPVBpost","instructions","264","136860","0.0-245.0","","","","",""
"[{""page_index"":0,""viewing_time"":251}]","251","Instructions_02","HRPVBpost","instructions","265","137112","0.0-246.0","","","","",""
"","231.93499999982305","HRPVBpost_06_00","HRPVBpost","html-button-response","266","137345","0.0-247.0-0.0","Paro cardíaco","0","Paro cardíaco","",""
"","363.19499999989057","HRPVBpost_06_01","HRPVBpost","html-slider-response","267","137710","0.0-247.0-1.0","cesarea","","Paro cardíaco; cesarea","50","51.6"
"","360.20000000097207","HRPVBpost_06_02","HRPVBpost","html-slider-response","268","138072","0.0-247.0-2.0","vaginal","","Paro cardíaco; vaginal","50","51.3"
"","253.82999999966705","HRPVBpost_08_00","HRPVBpost","html-button-response","269","138326","0.0-247.0-0.1","Infección de la herida","0","Infección de la herida","",""
"","389.67000000050757","HRPVBpost_08_01","HRPVBpost","html-slider-response","270","138717","0.0-247.0-1.1","cesarea","","Infección de la herida; cesarea","50","45.7"
"","377.96499999967637","HRPVBpost_08_02","HRPVBpost","html-slider-response","271","139097","0.0-247.0-2.1","vaginal","","Infección de la herida; vaginal","50","50.6"
"","235.04499999943073","HRPVBpost_10_00","HRPVBpost","html-button-response","272","139332","0.0-247.0-0.2","Hospitalización de la madre en cuidados intensivos","0","Hospitalización de la madre en cuidados intensivos","",""
"","365.7250000014901","HRPVBpost_10_01","HRPVBpost","html-slider-response","273","139699","0.0-247.0-1.2","cesarea","","Hospitalización de la madre en cuidados intensivos; cesarea","50","48.2"
"","372.4099999999744","HRPVBpost_10_02","HRPVBpost","html-slider-response","274","140073","0.0-247.0-2.2","vaginal","","Hospitalización de la madre en cuidados intensivos; vaginal","50","51.5"
"","228.17000000030384","HRPVBpost_07_00","HRPVBpost","html-button-response","275","140302","0.0-247.0-0.3","Histerectomía (extracción del útero)","0","Histerectomía (extracción del útero)","",""
"","366.0700000000652","HRPVBpost_07_02","HRPVBpost","html-slider-response","276","140669","0.0-247.0-1.3","vaginal","","Histerectomía (extracción del útero); vaginal","50","53.6"
"","364.3899999988207","HRPVBpost_07_01","HRPVBpost","html-slider-response","277","141035","0.0-247.0-2.3","cesarea","","Histerectomía (extracción del útero); cesarea","50","53.9"
"","233.90000000107102","HRPVBpost_05_00","HRPVBpost","html-button-response","278","141270","0.0-247.0-0.4","Complicaciones de la anestesia","0","Complicaciones de la anestesia","",""
"","372.19000000006054","HRPVBpost_05_01","HRPVBpost","html-slider-response","279","141643","0.0-247.0-1.4","cesarea","","Complicaciones de la anestesia; cesarea","50","48.6"
"","354.27499999970314","HRPVBpost_05_02","HRPVBpost","html-slider-response","280","141999","0.0-247.0-2.4","vaginal","","Complicaciones de la anestesia; vaginal","50","51.4"
