"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":370}]","370","Instructions_01","REI40","instructions","667","780274","0.0-631.0","","",""
"","799.8000000007451","REI40_08","REI40","html-slider-response","668","781076","0.0-632.0","<div class='justified'>Me gusta confiar en mis primeras impresiones.</div></br>","50","1"
"","833.5999999977648","REI40_10","REI40","html-slider-response","669","781913","0.0-633.0","<div class='justified'>Yo confío en mis corazonadas.</div></br>","50","1"
"","747.1999999992549","REI40_24","REI40","html-slider-response","670","782664","0.0-634.0","<div class='justified'>Trato de evitar situaciones que requieren pensar en profundidad sobre algo.</div></br>","50","1"
"","679.5","REI40_18","REI40","html-slider-response","671","783345","0.0-635.0","<div class='justified'>Disfruto de los desafíos intelectuales.</div></br>","50","1"
"","523.1000000014901","REI40_31","REI40","html-slider-response","672","783871","0.0-636.0","<div class='justified'>Creo que hay veces en que uno debería confiar en su intuición.</div></br>","50","1"
"","589.1000000014901","REI40_33","REI40","html-slider-response","673","784463","0.0-637.0","<div class='justified'>Generalmente mis intuiciones me sirven para resolver mis problemas.</div></br>","50","1"
"","698.9000000022352","REI40_22","REI40","html-slider-response","674","785164","0.0-638.0","<div class='justified'>Razonar las cosas cuidadosamente, no es uno de mis puntos fuertes.</div></br>","50","1"
"","568.6000000014901","REI40_36","REI40","html-slider-response","675","785738","0.0-639.0","<div class='justified'>Pensar mucho y por un tiempo prolongado sobre algo me da poca satisfacción.</div></br>","50","1"
"","477.5999999977648","REI40_38","REI40","html-slider-response","676","786218","0.0-640.0","<div class='justified'>Soy mucho mejor que la mayoría de la gente para resolver las cosas de forma lógica.</div></br>","50","1"
"","733","REI40_32","REI40","html-slider-response","677","786956","0.0-641.0","<div class='justified'>Disfruto pensando en términos abstractos.</div></br>","50","1"
"","600","REI40_15","REI40","html-slider-response","678","787558","0.0-642.0","<div class='justified'>Para mí es suficiente conocer la respuesta sin tener que entender el razonamiento detrás.</div></br>","50","1"
"","587","REI40_07","REI40","html-slider-response","679","788147","0.0-643.0","<div class='justified'>Pensar no es para mi una actividad agradable.</div></br>","50","1"
"","772.9000000022352","REI40_35","REI40","html-slider-response","680","788923","0.0-644.0","<div class='justified'>Tiendo a usar mi corazón como guía para mis acciones.</div></br>","50","1"
"","591.2999999970198","REI40_26","REI40","html-slider-response","681","789517","0.0-645.0","<div class='justified'>Pienso de manera lógica.</div></br>","50","1"
"","527","REI40_25","REI40","html-slider-response","682","790046","0.0-646.0","<div class='justified'>Confío en mis sentimientos iniciales sobre la gente.</div></br>","50","1"
"","879.3999999985099","REI40_23","REI40","html-slider-response","683","790929","0.0-647.0","<div class='justified'>No me gustan las situaciones en las cuales tengo que confiar en mi intuición.</div></br>","50","1"
"","696.3000000007451","REI40_02","REI40","html-slider-response","684","791629","0.0-648.0","<div class='justified'>Si me basara en mis corazonadas, me equivocaría seguido.</div></br>","50","1"
"","639.9000000022352","REI40_04","REI40","html-slider-response","685","792272","0.0-649.0","<div class='justified'>Generalmente, no dependo de mis sentimientos para tomar decisiones.</div></br>","50","1"
"","822","REI40_27","REI40","html-slider-response","686","793097","0.0-650.0","<div class='justified'>Pienso que no es una buena idea confiar en las propias intuiciones para tomar decisiones importantes.</div></br>","50","1"
"","696.9000000022352","REI40_37","REI40","html-slider-response","687","793797","0.0-651.0","<div class='justified'>Casi nunca me equivoco cuando escucho mis sentimientos más profundos para encontrar una respuesta.</div></br>","50","1"
"","572.5999999977648","REI40_20","REI40","html-slider-response","688","794372","0.0-652.0","<div class='justified'>Frecuentemente sigo mi instinto cuando decido qué hacer.</div></br>","50","1"
"","724.5","REI40_12","REI40","html-slider-response","689","795102","0.0-653.0","<div class='justified'>Creo que es una tontería tomar decisiones basadas en los sentimientos.</div></br>","50","1"
"","544.8000000007451","REI40_40","REI40","html-slider-response","690","795649","0.0-654.0","<div class='justified'>Me gustaría mucho aprender nuevas formas de pensar.</div></br>","50","1"
"","523","REI40_13","REI40","html-slider-response","691","796175","0.0-655.0","<div class='justified'>Sospecho que mis corazonadas a veces son inadecuadas y otras veces adecuadas.</div></br>","50","1"
"","724.6999999992549","REI40_11","REI40","html-slider-response","692","796904","0.0-656.0","<div class='justified'>Disfruto resolviendo problemas que requieren pensar mucho.</div></br>","50","1"
"","558.6000000014901","REI40_16","REI40","html-slider-response","693","797466","0.0-657.0","<div class='justified'>No quisiera depender de alguien que se describa a sí mismo como intuitivo.</div></br>","50","1"
"","552.1999999992549","REI40_21","REI40","html-slider-response","694","798023","0.0-658.0","<div class='justified'>Probablemente, mis juicios apresurados no son tan buenos como los de la mayoría de la gente.</div></br>","50","1"
"","720.1999999992549","REI40_03","REI40","html-slider-response","695","798746","0.0-659.0","<div class='justified'>Prefiero los problemas complejos antes que los simples.</div></br>","50","1"
"","668.3999999985099","REI40_01","REI40","html-slider-response","696","799420","0.0-660.0","<div class='justified'>No soy tan bueno/a resolviendo problemas complicados.</div></br>","50","1"
"","501.1000000014901","REI40_39","REI40","html-slider-response","697","799923","0.0-661.0","<div class='justified'>La intuición puede ser una forma útil para resolver problemas.</div></br>","50","1"
"","701.5999999977648","REI40_09","REI40","html-slider-response","698","800626","0.0-662.0","<div class='justified'>No soy una persona que piense de manera muy analítica.</div></br>","50","1"
"","632.8000000007451","REI40_06","REI40","html-slider-response","699","801262","0.0-663.0","<div class='justified'>Cuando se trata de confiar en la gente, usualmente me baso en mis corazonadas.</div></br>","50","1"
"","489.80000000074506","REI40_28","REI40","html-slider-response","700","801754","0.0-664.0","<div class='justified'>No me gusta tener que pensar mucho.</div></br>","50","1"
"","649","REI40_17","REI40","html-slider-response","701","802406","0.0-665.0","<div class='justified'>generalmente usar la lógica me sirve para resolver mis problemas.</div></br>","50","1"
