"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":388}]","389","Instructions_01","SWBQ","instructions","667","542479","0.0-726.0","","",""
"","532.2000000029802","SWBQ_01","SWBQ","html-slider-response","668","543013","0.0-727.0","<div class='justified'>1. Siento amor por otras personas.</div></br>","3","1"
"","642.4000000022352","SWBQ_02","SWBQ","html-slider-response","669","543658","0.0-728.0","<div class='justified'>2. Siento una relación personal con lo Divino / Dios.</div></br>","3","2"
"","596.8000000007451","SWBQ_03","SWBQ","html-slider-response","670","544258","0.0-729.0","<div class='justified'>3. Siento lástima hacia los demás.</div></br>","3","3"
"","577","SWBQ_04","SWBQ","html-slider-response","671","544837","0.0-730.0","<div class='justified'>4. Siento una conexión con la naturaleza.</div></br>","3","1"
"","666.1000000014901","SWBQ_05","SWBQ","html-slider-response","672","545506","0.0-731.0","<div class='justified'>5. Tengo un sentido de identidad.</div></br>","3","1"
"","534.8999999985099","SWBQ_06","SWBQ","html-slider-response","673","546043","0.0-732.0","<div class='justified'>6. Adoro al Divino / Creador.</div></br>","3","4"
"","625.5999999977648","SWBQ_07","SWBQ","html-slider-response","674","546671","0.0-733.0","<div class='justified'>7. Siento asombro por una vista impresionante.</div></br>","3","3"
"","796.8000000007451","SWBQ_08","SWBQ","html-slider-response","675","547473","0.0-734.0","<div class='justified'>8. Me siento confiado entre las personas.</div></br>","3","5"
"","514","SWBQ_09","SWBQ","html-slider-response","676","547990","0.0-735.0","<div class='justified'>9. Siento autoconciencia.</div></br>","3","4"
"","668.2000000029802","SWBQ_10","SWBQ","html-slider-response","677","548660","0.0-736.0","<div class='justified'>10. Siento unidad con la naturaleza.</div></br>","3","2"
"","646","SWBQ_11","SWBQ","html-slider-response","678","549310","0.0-737.0","<div class='justified'>11. Siento unidad con lo Divino / Dios.</div></br>","3","1"
"","531.6999999992549","SWBQ_12","SWBQ","html-slider-response","679","549844","0.0-738.0","<div class='justified'>12. Siento armonía con el medio ambiente.</div></br>","3","4"
"","643.6000000014901","SWBQ_13","SWBQ","html-slider-response","680","550490","0.0-739.0","<div class='justified'>13. Siento paz con lo Divino / Dios.</div></br>","3","5"
"","653.2999999970198","SWBQ_14","SWBQ","html-slider-response","681","551147","0.0-740.0","<div class='justified'>14. Siento alegría en la vida.</div></br>","3","1"
"","522.3000000007451","SWBQ_15","SWBQ","html-slider-response","682","551672","0.0-741.0","<div class='justified'>15. Siento que la oración enriquece mi vida.</div></br>","3","3"
"","632.5999999977648","SWBQ_16","SWBQ","html-slider-response","683","552307","0.0-742.0","<div class='justified'>16. Siento paz interior.</div></br>","3","4"
"","613.3000000007451","SWBQ_17","SWBQ","html-slider-response","684","552922","0.0-743.0","<div class='justified'>17. Siento respeto por los demás.</div></br>","3","1"
"","563","SWBQ_18","SWBQ","html-slider-response","685","553488","0.0-744.0","<div class='justified'>18. Siento que la vida tiene sentido.</div></br>","3","1"
"","519.3000000007451","SWBQ_19","SWBQ","html-slider-response","686","554010","0.0-745.0","<div class='justified'>19. Siento amabilidad hacia otras personas.</div></br>","3","3"
"","679.3999999985099","SWBQ_20","SWBQ","html-slider-response","687","554692","0.0-746.0","<div class='justified'>20. Siento 'magia' en el medio ambiente.</div></br>","3","2"
"","583.6000000014901","SWBQ_21","SWBQ","html-slider-response","688","555278","0.0-747.0","<div class='justified'>21. Siento una conexión entre mí y los demás.</div></br>","3","1"
"","632.5","SWBQ_22","SWBQ","html-slider-response","689","555912","0.0-748.0","<div class='justified'>22. Siento asombro hacia naturaleza.</div></br>","3","3"
"","665.1999999992549","SWBQ_23","SWBQ","html-slider-response","690","556579","0.0-749.0","<div class='justified'>23. Siento que vivo en armonía con los demás.</div></br>","3","4"
"","648.1000000014901","SWBQ_24","SWBQ","html-slider-response","691","557229","0.0-750.0","<div class='justified'>24. Me siento en armonía con la naturaleza.</div></br>","3","3"
"","966.8999999985099","SWBQ_25","SWBQ","html-slider-response","692","558199","0.0-751.0","<div class='justified'>25. Siento fuerza interior.</div></br>","3","5"
"","988.2000000029802","SWBQ_26","SWBQ","html-slider-response","693","559190","0.0-752.0","<div class='justified'>26. Siento que confío en las personas.</div></br>","3","4"
