"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":360}]","360","Instructions_01","COVIDCONTROL","instructions","51","53603","0.0-65.0","","","",""
"","1400.199999999255","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","52","55007","0.0-66.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hijo/a(s)""]}","[0]",""
"","1344","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","53","56354","0.0-67.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.""}","",""
"","952","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","54","57310","0.0-68.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}","",""
"","1502.8999999985099","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","55","58818","0.0-69.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi país""]}","[0]",""
"","1131","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","56","59951","0.0-70.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","1136","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","57","61091","0.0-71.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","1162","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","58","62257","0.0-72.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","1047","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","59","63308","0.0-73.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","1141","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","60","64454","0.0-74.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","1189","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","61","65648","0.0-75.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","863","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","62","66512","0.0-76.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}","",""
"","1264","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","63","67778","0.0-77.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" No lo sé / Prefiero no responder""}","",""
"","591.5","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","64","68373","0.0-78.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","8","","5"
