"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":253}]","253","Instructions","ITC","instructions","394","184094","0.0-347.0","","",""
"","450","ITC_01","ITC","survey-multi-choice-vertical","395","184547","0.0-348.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3400000 este mes""}",""
"","434","ITC_02","ITC","survey-multi-choice-vertical","396","184983","0.0-349.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","416","ITC_03","ITC","survey-multi-choice-vertical","397","185400","0.0-350.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","451","ITC_04","ITC","survey-multi-choice-vertical","398","185853","0.0-351.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 en 10 años""}",""
"","459","ITC_05","ITC","survey-multi-choice-vertical","399","186315","0.0-352.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 en 10 años""}",""
"","417","ITC_06","ITC","survey-multi-choice-vertical","400","186735","0.0-353.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","432","ITC_07","ITC","survey-multi-choice-vertical","401","187168","0.0-354.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $400000""}",""
"","413","ITC_08","ITC","survey-multi-choice-vertical","402","187584","0.0-355.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 ahora""}",""
"","417","ITC_09","ITC","survey-multi-choice-vertical","403","188004","0.0-356.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 30 mins. en dos semanas""}",""
"","403","ITC_10","ITC","survey-multi-choice-vertical","404","188409","0.0-357.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $2000000 el próximo año""}",""
"","415","ITC_11","ITC","survey-multi-choice-vertical","405","188825","0.0-358.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente en 2 semanas""}",""
"","420.9049999999406","ITC_12","ITC","html-slider-response","406","189247","0.0-359.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","381.04999999995925","ITC_13","ITC","html-slider-response","407","189629","0.0-360.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","411.58999999970547","ITC_14","ITC","html-slider-response","408","190042","0.0-361.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","517","ITC_15","ITC","survey-multi-choice-vertical","409","190562","0.0-362.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Devuelves la billetera sin dejar que el dueño sepa quien eres""}",""
