"rt","stimulus","button_pressed","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","response"
"491.9000000022352","<div style=""max-width:600px;""><p>Descripcion de la tarea e instrucciones. ....</p></div>","0","Instructions_01","ESM","html-button-response","238","420009","0.0-253.0",""
"833","{""Q0"":""¿Cómo está su memoria en comparación a como estaba 10 años atrás?""}","","ESM_01","ESM","survey-multi-choice-vertical","239","420847","0.0-254.0","{""Q0"":""Peor""}"
"950","{""Q0"":""¿Siente que le cuesta más recordar las cosas de lo que le costaba hace un año atrás?""}","","ESM_02","ESM","survey-multi-choice-vertical","240","421801","0.0-255.0","{""Q0"":""No""}"
"991","{""Q0"":""¿Cómo está su capacidad para recordar los nombres de personas cercanas o familiares?""}","","ESM_03","ESM","survey-multi-choice-vertical","241","422796","0.0-256.0","{""Q0"":""Mala""}"
"1061","{""Q0"":""¿Siente usted que su memoria está peor que antes?""}","","ESM_04","ESM","survey-multi-choice-vertical","242","423862","0.0-257.0","{""Q0"":""Si""}"
"705","{""Q0"":""¿Siente que se está olvidando donde deja las cosas?""}","","ESM_05","ESM","survey-multi-choice-vertical","243","424574","0.0-258.0","{""Q0"":""Si""}"
"829","{""Q0"":""¿Tiene más dificultades que antes de encontrar las palabras necesarias para tener una conversación?""}","","ESM_06","ESM","survey-multi-choice-vertical","244","425406","0.0-259.0","{""Q0"":""No""}"
"874","{""Q0"":""¿Cómo está su capacidad para recordar compromisos importantes?""}","","ESM_07","ESM","survey-multi-choice-vertical","245","426283","0.0-260.0","{""Q0"":""Buena""}"
"921","{""Q0"":""¿Tiene dificultades para recordar cosas que han pasado recientemente?""}","","ESM_08","ESM","survey-multi-choice-vertical","246","427207","0.0-261.0","{""Q0"":""No se""}"
"837","{""Q0"":""¿Tiende a olvidar las cosas que le dijeron ayer o hace pocos días atrás?""}","","ESM_09","ESM","survey-multi-choice-vertical","247","428049","0.0-262.0","{""Q0"":""No se""}"
"686","{""Q0"":""¿Le ha pasado que comienza a hacer algo pero se le olvida lo que estaba haciendo?""}","","ESM_10","ESM","survey-multi-choice-vertical","248","428739","0.0-263.0","{""Q0"":""Si""}"
"985","{""Q0"":""¿Le ha pasado que entra a una pieza a buscar o hacer algo y se le olvida lo que era?""}","","ESM_11","ESM","survey-multi-choice-vertical","249","429726","0.0-264.0","{""Q0"":""No se""}"
