"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":254}]","254","Instructions","OTRASRELIG","instructions","474","223340","0.0-428.0","","",""
"","430.1849999992701","OTRASRELIG_01","OTRASRELIG","html-slider-response","475","223773","0.0-429.0","<div class=""justified"">¿Qué tan importante considera que es Dios en su vida? </div></br>","50","1"
"","431","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","476","224206","0.0-430.0","{""Q0"":""¿Cree usted en Dios?""}","","{""Q0"":"" Sí""}"
"","441","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","477","224650","0.0-431.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","","{""Q0"":"" Sí""}"
"","446","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","478","225099","0.0-432.0","{""Q0"":""¿Cree usted en el Infierno?""}","","{""Q0"":"" No""}"
"","435","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","479","225536","0.0-433.0","{""Q0"":""¿Cree usted en el Cielo?""}","","{""Q0"":"" Sí""}"
"","600","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","480","226141","0.0-434.0","{""Q0"":""Fui criado(a)""}","","{""Q0"":"" No religioso(a)""}"
"","592","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","481","226736","0.0-436.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","","{""Q0"":"" Judío(a)""}"
"","608","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","482","227348","0.0-438.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","754","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","483","228110","0.0-439.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","","{""Q0"":"" Una vez a la semana""}"
