"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":571}]","571","Instructions_01","OTRASRELIG","instructions","536","635029","0.0-493.0","","",""
"","726.2000000029802","OTRASRELIG_01","OTRASRELIG","html-slider-response","537","635759","0.0-494.0","<div class=""justified"">¿Qué tan importante considera que es Dios en su vida? </div></br>","50","1"
"","637","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","538","636400","0.0-495.0","{""Q0"":""¿Cree usted en Dios?""}","","{""Q0"":"" Sí""}"
"","1214","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","539","637620","0.0-496.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","","{""Q0"":"" No""}"
"","902","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","540","638532","0.0-497.0","{""Q0"":""¿Cree usted en el Infierno?""}","","{""Q0"":"" No""}"
"","767","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","541","639303","0.0-498.0","{""Q0"":""¿Cree usted en el Cielo?""}","","{""Q0"":"" Sí""}"
"","1360","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","542","640671","0.0-499.0","{""Q0"":""Fui criado(a)""}","","{""Q0"":"" Religioso(a), Protestante (evangélico(a))""}"
"","1299","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","543","641978","0.0-501.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","1167","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","544","643162","0.0-503.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","1537","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","545","644708","0.0-504.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","","{""Q0"":"" Solo para los festivos""}"
