"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":405}]","405","Instructions_01","SWBQ","instructions","857","932611","0.0-831.0","","",""
"","606.1999999992549","SWBQ_01","SWBQ","html-slider-response","858","933220","0.0-832.0","<div class='justified'>1. Siento amor por otras personas.</div></br>","50","1"
"","558.3000000007451","SWBQ_02","SWBQ","html-slider-response","859","933781","0.0-833.0","<div class='justified'>2. Siento una relación personal con lo Divino / Dios.</div></br>","50","1"
"","871.3999999985099","SWBQ_03","SWBQ","html-slider-response","860","934655","0.0-834.0","<div class='justified'>3. Siento lástima hacia los demás.</div></br>","50","1"
"","584","SWBQ_04","SWBQ","html-slider-response","861","935244","0.0-835.0","<div class='justified'>4. Siento una conexión con la naturaleza.</div></br>","50","1"
"","538.8999999985099","SWBQ_05","SWBQ","html-slider-response","862","935785","0.0-836.0","<div class='justified'>5. Tengo un sentido de identidad.</div></br>","50","1"
"","610","SWBQ_06","SWBQ","html-slider-response","863","936400","0.0-837.0","<div class='justified'>6. Adoro al Divino / Creador.</div></br>","50","1"
"","752.3000000007451","SWBQ_07","SWBQ","html-slider-response","864","937154","0.0-838.0","<div class='justified'>7. Siento asombro por una vista impresionante.</div></br>","50","1"
"","490.80000000074506","SWBQ_08","SWBQ","html-slider-response","865","937647","0.0-839.0","<div class='justified'>8. Me siento confiado entre las personas.</div></br>","50","1"
"","600.3000000007451","SWBQ_09","SWBQ","html-slider-response","866","938249","0.0-840.0","<div class='justified'>9. Siento autoconciencia.</div></br>","50","1"
"","585.1999999992549","SWBQ_10","SWBQ","html-slider-response","867","938838","0.0-841.0","<div class='justified'>10. Siento unidad con la naturaleza.</div></br>","50","1"
"","508.19999999925494","SWBQ_11","SWBQ","html-slider-response","868","939348","0.0-842.0","<div class='justified'>11. Siento unidad con lo Divino / Dios.</div></br>","50","1"
"","519","SWBQ_12","SWBQ","html-slider-response","869","939869","0.0-843.0","<div class='justified'>12. Siento armonía con el medio ambiente.</div></br>","50","1"
"","590.4000000022352","SWBQ_13","SWBQ","html-slider-response","870","940462","0.0-844.0","<div class='justified'>13. Siento paz con lo Divino / Dios.</div></br>","50","1"
"","486.30000000074506","SWBQ_14","SWBQ","html-slider-response","871","940950","0.0-845.0","<div class='justified'>14. Siento alegría en la vida.</div></br>","50","1"
"","656.7999999970198","SWBQ_15","SWBQ","html-slider-response","872","941609","0.0-846.0","<div class='justified'>15. Siento que la oración enriquece mi vida.</div></br>","50","1"
"","814.8000000007451","SWBQ_16","SWBQ","html-slider-response","873","942427","0.0-847.0","<div class='justified'>16. Siento paz interior.</div></br>","50","1"
"","736.8999999985099","SWBQ_17","SWBQ","html-slider-response","874","943166","0.0-848.0","<div class='justified'>17. Siento respeto por los demás.</div></br>","50","1"
"","722.1999999992549","SWBQ_18","SWBQ","html-slider-response","875","943892","0.0-849.0","<div class='justified'>18. Siento que la vida tiene sentido.</div></br>","50","1"
"","692.4000000022352","SWBQ_19","SWBQ","html-slider-response","876","944588","0.0-850.0","<div class='justified'>19. Siento amabilidad hacia otras personas.</div></br>","50","1"
"","506.6000000014901","SWBQ_20","SWBQ","html-slider-response","877","945097","0.0-851.0","<div class='justified'>20. Siento 'magia' en el medio ambiente.</div></br>","50","1"
"","600.5999999977648","SWBQ_21","SWBQ","html-slider-response","878","945701","0.0-852.0","<div class='justified'>21. Siento una conexión entre mí y los demás.</div></br>","50","1"
"","883.6000000014901","SWBQ_22","SWBQ","html-slider-response","879","946595","0.0-853.0","<div class='justified'>22. Siento asombro hacia naturaleza.</div></br>","50","1"
"","637.3000000007451","SWBQ_23","SWBQ","html-slider-response","880","947237","0.0-854.0","<div class='justified'>23. Siento que vivo en armonía con los demás.</div></br>","50","1"
"","690.3000000007451","SWBQ_24","SWBQ","html-slider-response","881","947929","0.0-855.0","<div class='justified'>24. Me siento en armonía con la naturaleza.</div></br>","50","1"
"","543.6999999992549","SWBQ_25","SWBQ","html-slider-response","882","948475","0.0-856.0","<div class='justified'>25. Siento fuerza interior.</div></br>","50","1"
"","545.1999999992549","SWBQ_26","SWBQ","html-slider-response","883","949022","0.0-857.0","<div class='justified'>26. Siento que confío en las personas.</div></br>","50","1"
