"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":13200},{""page_index"":1,""viewing_time"":24347},{""page_index"":2,""viewing_time"":2797}]","40345","Instructions","INFCONS","instructions","82","513071","0.0-53.0","",""
"","10734","INFCONS_02","INFCONS","image-button-response","83","523813","0.0-54.0","img/Baby_cerebro_VC.png","0"
"","6876","INFCONS_03","INFCONS","image-button-response","84","530693","0.0-55.0","img/Baby_UCI_VC.png","0"
"","6862.000000000116","INFCONS_04","INFCONS","image-button-response","85","537559","0.0-56.0","img/Baby_lactancia_VC.png","0"
"","8395.000000000116","INFCONS_01","INFCONS","image-button-response","86","545958","0.0-57.0","img/Baby_respiratorios_VC.png","0"
"[{""page_index"":0,""viewing_time"":2049}]","2049","Instructions","INFCONS","instructions","87","548011","0.0-58.0","",""
"","4009.0000000001164","INFCONS_06","INFCONS","image-button-response","88","552024","0.0-59.0","img/Mother_paro_VC.png","0"
"","2480","INFCONS_08","INFCONS","image-button-response","89","554508","0.0-60.0","img/Mother_infeccion_VC.png","0"
"","8790","INFCONS_09","INFCONS","image-button-response","90","563309","0.0-61.0","img/Mother_lesion_VC.png","0"
"","3219","INFCONS_07","INFCONS","image-button-response","91","566534","0.0-62.0","img/Mother_histerectomia_VC.png","0"
"","2975","INFCONS_10","INFCONS","image-button-response","92","569514","0.0-63.0","img/Mother_UCI_VC.png","0"
"","3162","INFCONS_05","INFCONS","image-button-response","93","572681","0.0-64.0","img/Mother_anestesia_VC.png","0"
"","7128","INFCONS_11","INFCONS","image-button-response","94","579814","0.0-65.0","img/Mother_depresion_VC.png","0"
