"trialid","procedure","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"BART_01","BART","{""explodeRounds"":44}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":200}","audio-button-response","8","24450","0.0-15.0"
"BART_02","BART","{""explodeRounds"":92}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":450}","audio-button-response","9","29516","0.0-16.0"
"BART_03","BART","{""explodeRounds"":14}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":650}","audio-button-response","10","33700","0.0-17.0"
"BART_04","BART","{""explodeRounds"":101}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":750}","audio-button-response","11","36550","0.0-18.0"
"BART_05","BART","{""explodeRounds"":105}","{""status"":""safe"",""rounds"":14,""roundMoney"":700,""totalMoney"":1450}","audio-button-response","12","48551","0.0-19.0"
"BART_06","BART","{""explodeRounds"":1}","{""status"":""explode"",""rounds"":1,""roundMoney"":0,""totalMoney"":1450}","audio-button-response","13","49730","0.0-20.0"
"BART_07","BART","{""explodeRounds"":70}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":1450}","audio-button-response","14","50794","0.0-21.0"
"BART_08","BART","{""explodeRounds"":62}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":1500}","audio-button-response","15","52944","0.0-22.0"
"BART_09","BART","{""explodeRounds"":96}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":1650}","audio-button-response","16","56132","0.0-23.0"
"BART_10","BART","{""explodeRounds"":114}","{""status"":""safe"",""rounds"":20,""roundMoney"":1000,""totalMoney"":2650}","audio-button-response","17","72225","0.0-24.0"
"BART_11","BART","{""explodeRounds"":109}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":3200}","audio-button-response","18","81108","0.0-25.0"
"BART_12","BART","{""explodeRounds"":53}","{""status"":""safe"",""rounds"":19,""roundMoney"":950,""totalMoney"":4150}","audio-button-response","19","95792","0.0-26.0"
"BART_13","BART","{""explodeRounds"":49}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":4300}","audio-button-response","20","99039","0.0-27.0"
"BART_14","BART","{""explodeRounds"":122}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":4850}","audio-button-response","21","108180","0.0-28.0"
"BART_15","BART","{""explodeRounds"":118}","{""status"":""safe"",""rounds"":39,""roundMoney"":1950,""totalMoney"":6800}","audio-button-response","22","136377","0.0-29.0"
"BART_16","BART","{""explodeRounds"":18}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":6900}","audio-button-response","23","139009","0.0-30.0"
"BART_17","BART","{""explodeRounds"":88}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":6900}","audio-button-response","24","140012","0.0-31.0"
"BART_18","BART","{""explodeRounds"":40}","{""status"":""safe"",""rounds"":20,""roundMoney"":1000,""totalMoney"":7900}","audio-button-response","25","156875","0.0-32.0"
"BART_19","BART","{""explodeRounds"":83}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":8450}","audio-button-response","26","165337","0.0-33.0"
"BART_20","BART","{""explodeRounds"":128}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":8450}","audio-button-response","27","166257","0.0-34.0"
"BART_21","BART","{""explodeRounds"":23}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":8550}","audio-button-response","28","168741","0.0-35.0"
"BART_22","BART","{""explodeRounds"":10}","{""status"":""safe"",""rounds"":8,""roundMoney"":400,""totalMoney"":8950}","audio-button-response","29","176433","0.0-36.0"
"BART_23","BART","{""explodeRounds"":31}","{""status"":""safe"",""rounds"":24,""roundMoney"":1200,""totalMoney"":10150}","audio-button-response","30","195430","0.0-37.0"
"BART_24","BART","{""explodeRounds"":36}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":10300}","audio-button-response","31","198681","0.0-38.0"
"BART_25","BART","{""explodeRounds"":66}","{""status"":""safe"",""rounds"":6,""roundMoney"":300,""totalMoney"":10600}","audio-button-response","32","203761","0.0-39.0"
"BART_26","BART","{""explodeRounds"":27}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":11150}","audio-button-response","33","213553","0.0-40.0"
"BART_27","BART","{""explodeRounds"":57}","{""status"":""safe"",""rounds"":18,""roundMoney"":900,""totalMoney"":12050}","audio-button-response","34","229430","0.0-41.0"
"BART_28","BART","{""explodeRounds"":75}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":12400}","audio-button-response","35","234965","0.0-42.0"
"BART_29","BART","{""explodeRounds"":5}","{""status"":""explode"",""rounds"":5,""roundMoney"":0,""totalMoney"":12400}","audio-button-response","36","238398","0.0-43.0"
"BART_30","BART","{""explodeRounds"":79}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":12450}","audio-button-response","37","240382","0.0-44.0"
