"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":257}]","257","Instructions","OTRASRELIG","instructions","474","218279","0.0-428.0","","",""
"","420.4849999996368","OTRASRELIG_01","OTRASRELIG","html-slider-response","475","218702","0.0-429.0","<div class=""justified"">¿Qué tan importante considera que es Dios en su vida? </div></br>","50","1"
"","425","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","476","219129","0.0-430.0","{""Q0"":""¿Cree usted en Dios?""}","","{""Q0"":"" Sí""}"
"","442","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","477","219573","0.0-431.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","","{""Q0"":"" No""}"
"","442","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","478","220017","0.0-432.0","{""Q0"":""¿Cree usted en el Infierno?""}","","{""Q0"":"" Sí""}"
"","439","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","479","220460","0.0-433.0","{""Q0"":""¿Cree usted en el Cielo?""}","","{""Q0"":"" No""}"
"","620","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","480","221083","0.0-434.0","{""Q0"":""Fui criado(a)""}","","{""Q0"":"" Religioso(a), Protestante (evangélico(a))""}"
"","585","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","481","221672","0.0-436.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","","{""Q0"":"" Católico(a)""}"
"","569","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","482","222245","0.0-438.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","","{""Q0"":"" La gran mayoría""}"
"","756","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","483","223005","0.0-439.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","","{""Q0"":"" Más de una vez a la semana""}"
