"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":376}]","376","Instructions_001","Text","FONDECYT","instructions","794","624602","0.0-800.0","","","",""
"[{""page_index"":0,""viewing_time"":332}]","332","FONDECYT_01_1","Text","FONDECYT","instructions","795","624935","0.0-801.0-0.0","highQuality_Cancer","","",""
"","821.4000000022352","FONDECYT_02_1","Text","FONDECYT","survey-html-form","796","625762","0.0-801.0-1.0","highQuality_Cancer","{""Q0"":null}","{""Q0"":""33""}",""
"","891","FONDECYT_03_1","Text","FONDECYT","survey-multi-choice-vertical","797","626674","0.0-801.0-2.0","highQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 33%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","641.4000000022352","FONDECYT_04_1","Text","FONDECYT","html-slider-response","798","627319","0.0-801.0-3.0","highQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","96","50"
"","927","FONDECYT_05_1","Text","FONDECYT","survey-multi-choice-vertical","799","628250","0.0-801.0-4.0","highQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" No""}",""
"","527.5","FONDECYT_06_1","Text","FONDECYT","html-slider-response","800","628780","0.0-801.0-5.0","highQuality_Cancer","<div class='justified'>¿Con qué seguridad NO recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","53","50"
"[{""page_index"":0,""viewing_time"":418}]","418","FONDECYT_01_2","Text","FONDECYT","instructions","801","629200","0.0-801.0-0.1","lowQuality_Cancer","","",""
"","1025.199999999255","FONDECYT_02_2","Text","FONDECYT","survey-html-form","802","630228","0.0-801.0-1.1","lowQuality_Cancer","{""Q0"":null}","{""Q0"":""33""}",""
"","832","FONDECYT_03_2","Text","FONDECYT","survey-multi-choice-vertical","803","631068","0.0-801.0-2.1","lowQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 33%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","637.3999999985099","FONDECYT_04_2","Text","FONDECYT","html-slider-response","804","631710","0.0-801.0-3.1","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","96","50"
