"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":256}]","256","Instructions","IRI","instructions","355","168512","0.0-307.0","","",""
"","432.595000000234","IRI_01","IRI","html-slider-response","356","168947","0.0-308.0","<div class='justified'>1.- Con cierta frecuencia sueño despierto y fantaseo sobre cosas que podrían pasarme.</div></br>","50","0"
"","364.6900000003516","IRI_02","IRI","html-slider-response","357","169313","0.0-309.0","<div class='justified'>2.- A menudo tengo sentimientos de compasión y preocupación hacia gente menos afortunada que yo.</div></br>","50","0"
"","413.04500000024564","IRI_03","IRI","html-slider-response","358","169727","0.0-310.0","<div class='justified'>3.- A veces encuentro difícil ver las cosas desde el punto de vista de otros.</div></br>","50","0"
"","374.5250000001688","IRI_04","IRI","html-slider-response","359","170103","0.0-311.0","<div class='justified'>4.- A veces no me dan mucha lástima otras personas cuando tienen problemas.</div></br>","50","0"
"","368.21500000043306","IRI_05","IRI","html-slider-response","360","170473","0.0-312.0","<div class='justified'>5.- Realmente me siento “metido/a” en los sentimientos de los personajes de una novela.</div></br>","50","0"
"","387.0750000005646","IRI_06","IRI","html-slider-response","361","170861","0.0-313.0","<div class='justified'>6.- En situaciones de emergencia, me siento aprensivo e incómodo.</div></br>","50","0"
"","359.72500000026776","IRI_07","IRI","html-slider-response","362","171222","0.0-314.0","<div class='justified'>7.- Generalmente soy objetivo cuando veo una película o una obra de teatro y no me suelo “meter” completamente en ella.</div></br>","50","0"
"","365.07999999955064","IRI_08","IRI","html-slider-response","363","171588","0.0-315.0","<div class='justified'>8.- En un desacuerdo con otros, trato de ver las cosas desde el punto de vista de los demás antes de tomar una decisión.</div></br>","50","0"
"","368.1000000005879","IRI_09","IRI","html-slider-response","364","171957","0.0-316.0","<div class='justified'>9.- Cuando veo que se aprovechan de alguien, siento necesidad de protegerle.</div></br>","50","0"
"","367.8500000005297","IRI_10","IRI","html-slider-response","365","172326","0.0-317.0","<div class='justified'>10.- A veces me siento indefenso/a cuando estoy en medio de una situación muy emotiva.</div></br>","50","0"
"","368.78499999965425","IRI_11","IRI","html-slider-response","366","172696","0.0-318.0","<div class='justified'>11.- A veces intento comprender mejor a mis amigos imaginando cómo ven las cosas desde su perspectiva.</div></br>","50","0"
"","358.26500000077067","IRI_12","IRI","html-slider-response","367","173056","0.0-319.0","<div class='justified'>12.- Es raro que yo me “meta” mucho en un buen libro o en una película.</div></br>","50","0"
"","348.5099999998056","IRI_13","IRI","html-slider-response","368","173405","0.0-320.0","<div class='justified'>13.- Cuando veo que alguien se hace daño, tiendo a permanecer tranquilo.</div></br>","50","0"
"","348.87499999967986","IRI_14","IRI","html-slider-response","369","173755","0.0-321.0","<div class='justified'>14.- Las desgracias de otros no suelen angustiarme mucho.</div></br>","50","0"
"","357.8999999999942","IRI_15","IRI","html-slider-response","370","174114","0.0-322.0","<div class='justified'>15.- Si estoy seguro/a que tengo la razón en algo, no pierdo mucho tiempo escuchando los argumentos de otras personas.</div></br>","50","0"
"","357.6300000004412","IRI_16","IRI","html-slider-response","371","174473","0.0-323.0","<div class='justified'>16.- Después de ver una obra de teatro o una película, me siento como si fuese uno de los protagonistas.</div></br>","50","0"
"","362.0249999994412","IRI_17","IRI","html-slider-response","372","174836","0.0-324.0","<div class='justified'>17.- Me asusta estar en una situación emocional tensa.</div></br>","50","0"
"","352.25499999980093","IRI_18","IRI","html-slider-response","373","175190","0.0-325.0","<div class='justified'>18.- Cuando veo que alguien está siendo tratado injustamente, no suelo sentir mucha pena por él.</div></br>","50","0"
"","360.764999999461","IRI_19","IRI","html-slider-response","374","175551","0.0-326.0","<div class='justified'>19.- Generalmente soy bastante efectivo afrontando emergencias.</div></br>","50","0"
"","354.3899999994901","IRI_20","IRI","html-slider-response","375","175907","0.0-327.0","<div class='justified'>20.- A menudo me conmueven las cosas que veo que pasan.</div></br>","50","0"
"","345.15499999999884","IRI_21","IRI","html-slider-response","376","176254","0.0-328.0","<div class='justified'>21.- Creo que todas las cuestiones se pueden ver desde dos perspectivas e intento considerar ambas.</div></br>","50","0"
"","355.1250000000582","IRI_22","IRI","html-slider-response","377","176610","0.0-329.0","<div class='justified'>22.- Me describiría como una persona bastante sensible.</div></br>","50","0"
"","364.63999999978114","IRI_23","IRI","html-slider-response","378","176976","0.0-330.0","<div class='justified'>23.- Cuando veo una buena película, puedo ponerme muy fácilmente en el lugar del protagonista.</div></br>","50","0"
"","378.4050000003772","IRI_24","IRI","html-slider-response","379","177356","0.0-331.0","<div class='justified'>24.- Tiendo a perder el control en las emergencias.</div></br>","50","0"
"","364.21499999961816","IRI_25","IRI","html-slider-response","380","177721","0.0-332.0","<div class=""justified"">25.- Cuando estoy molesto con alguien, generalmente trato de ""ponerme en su pellejo"" durante un tiempo.</div></br>","50","0"
"","367.2099999994389","IRI_26","IRI","html-slider-response","381","178089","0.0-333.0","<div class='justified'>26.- Cuando estoy leyendo una novela o historia interesante, imagino cómo me sentiría si me estuviera pasando lo que ocurre en la historia.</div></br>","50","0"
"","365.6350000000966","IRI_27","IRI","html-slider-response","382","178456","0.0-334.0","<div class='justified'>27.- Cuando veo a alguien en una emergencia que necesita ayuda, pierdo el control.</div></br>","50","0"
"","357.04499999975087","IRI_28","IRI","html-slider-response","383","178814","0.0-335.0","<div class='justified'>28.- Antes de criticar a alguien, intento imaginar cómo me sentiría yo si estuviera en su lugar.</div></br>","50","0"
