"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":252}]","252","Instructions","COVIDCONTROL","instructions","51","30103","0.0-61.0","","","",""
"","989.3799999999901","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","52","31096","0.0-62.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años""]}","[0]",""
"","787","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","53","31886","0.0-63.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc""}","",""
"","691","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","54","32580","0.0-64.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Malo""}","",""
"","1068.8749999999345","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","55","33652","0.0-65.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi ciudad""]}","[0]",""
"","614","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","56","34269","0.0-66.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","641","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","57","34912","0.0-67.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","625","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","58","35540","0.0-68.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","622","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","59","36165","0.0-69.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}","",""
"","675","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","60","36842","0.0-70.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","634","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","61","37480","0.0-71.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","616","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","62","38099","0.0-72.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}","",""
"","676","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","63","38778","0.0-73.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" No lo sé / Prefiero no responder""}","",""
"","487.6799999997238","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","64","39268","0.0-74.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
